sms_id,text,label
sms10048,"Fair enough, anything going on?",ham
sms10049,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham
sms10050,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham
sms10051,What you thinked about me. First time you saw me in class.,ham
sms10052,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham
sms10053,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham
sms10054,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",ham
sms10055,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam
sms10056,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham
sms10057,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
sms10058,"Sorry, I'll call later in meeting.",ham
sms10059,Tell where you reached,ham
sms10060,Yes..gauti and sehwag out of odi series.,ham
sms10061,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham
sms10062,Ha ha ha good joke. Girls are situation seekers.,ham
sms10063,Its a part of checking IQ,ham
sms10064,"Sorry my roommates took forever, it ok if I come by now?",ham
sms10065,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham
sms10066,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam
sms10067,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",ham
sms10068,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
sms10069,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",spam
sms10070,I plane to give on this month end.,ham
sms10071,Wah lucky man... Then can save money... Hee...,ham
sms10072,Finished class where are you.,ham
sms10073,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham
sms10074,K..k:)where are you?how did you performed?,ham
sms10075,U can call me now...,ham
sms10076,I am waiting machan. Call me once you free.,ham
sms10077,Thats cool. i am a gentleman and will treat you with dignity and respect.,ham
sms10078,I like you peoples very much:) but am very shy pa.,ham
sms10079,Does not operate after  &lt;#&gt;  or what,ham
sms10080,Its not the same here. Still looking for a job. How much do Ta's earn there.,ham
sms10081,"Sorry, I'll call later",ham
sms10082,K. Did you call me just now ah? ,ham
sms10083,Ok i am on the way to home hi hi,ham
sms10084,You will be in the place of that man,ham
sms10085,Yup next stop.,ham
sms10086,"I call you later, don't have network. If urgnt, sms me.",ham
sms10087,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham
sms10088,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham
sms10089,I'm really not up to it still tonight babe,ham
sms10090,"Ela kano.,il download, come wen ur free..",ham
sms10091,Yeah do! Don‘t stand to close tho- you‘ll catch something!,ham
sms10092,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham
sms10093,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham
sms10094,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
sms10095,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham
sms10096,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam
sms10097,Watching telugu movie..wat abt u?,ham
sms10098,i see. When we finish we have loads of loans to pay,ham
sms10099,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",ham
sms10100,I see a cup of coffee animation,ham
sms10101,Please don't text me anymore. I have nothing else to say.,ham
sms10102,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham
sms10103,I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham
sms10104,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
sms10105,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham
sms10106,Umma my life and vava umma love you lot dear,ham
sms10107,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham
sms10108,"Aight, I'll hit you up when I get some cash",ham
sms10109,How would my ip address test that considering my computer isn't a minecraft server,ham
sms10110,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham
sms10111,Dont worry. I guess he's busy.,ham
sms10112,What is the plural of the noun research?,ham
sms10113,Going for dinner.msg you after.,ham
sms10114,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham
sms10115,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam
sms10116,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham
sms10117,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
sms10118,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam
sms10119,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham
sms10120,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham
sms10121,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
sms10122,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
sms10123,here is my new address -apples&pairs&all that malarky,ham
sms10124,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
sms10125,I am going to sao mu today. Will be done only at 12 ,ham
sms10126,Ü predict wat time ü'll finish buying?,ham
sms10127,"Good stuff, will do.",ham
sms10128,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham
sms10129,Are you there in room.,ham
sms10130,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham
sms10131,K..k:)how much does it cost?,ham
sms10132,I'm home.,ham
sms10133,"Dear, will call Tmorrow.pls accomodate.",ham
sms10134,First answer my question.,ham
sms10135,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam
sms10136,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam
sms10137,I only haf msn. It's yijue@hotmail.com,ham
sms10138,He is there. You call and meet him,ham
sms10139,No no. I will check all rooms befor activities,ham
sms10140,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam
sms10141,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham
sms10142,"K, text me when you're on the way",ham
sms10143,"Sir, Waiting for your mail.",ham
sms10144,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham
sms10145,I know you are. Can you pls open the back?,ham
sms10146,Yes see ya not on the dot,ham
sms10147,Whats the staff name who is taking class for us?,ham
sms10148,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam
sms10149,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham
sms10150,K..i deleted my contact that why?,ham
sms10151,Sindu got job in birla soft ..,ham
sms10152,The wine is flowing and i'm i have nevering..,ham
sms10153,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham
sms10154,Ok... Ur typical reply...,ham
sms10155,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
sms10156,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham
sms10157,Aaooooright are you at work?,ham
sms10158,I'm leaving my house now...,ham
sms10159,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham
sms10160,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam
sms10161,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
sms10162,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham
sms10163,New car and house for my parents.:)i have only new job in hand:),ham
sms10164,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham
sms10165,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam
sms10166,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam
sms10167,I place all ur points on e cultures module already.,ham
sms10168,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam
sms10169,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham
sms10170,Great escape. I fancy the bridge but needs her lager. See you tomo ,ham
sms10171,Yes :)it completely in out of form:)clark also utter waste.,ham
sms10172,"Sir, I need AXIS BANK account no and bank address.",ham
sms10173,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",ham
sms10174,What time you coming down later? ,ham
sms10175,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",ham
sms10176,"Well, i'm gonna finish my bath now. Have a good...fine night.",ham
sms10177,Let me know when you've got the money so carlos can make the call,ham
sms10178,U still going to the mall?,ham
sms10179,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham
sms10180,Text her. If she doesnt reply let me know so i can have her log in,ham
sms10181,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham
sms10182,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham
sms10183,Lol no. U can trust me.,ham
sms10184,ok. I am a gentleman and will treat you with dignity and respect.,ham
sms10185,"He will, you guys close?",ham
sms10186,Going on nothing great.bye,ham
sms10187,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham
sms10188,"Haha awesome, be there in a minute",ham
sms10189,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
sms10190,Have you got Xmas radio times. If not i will get it now,ham
sms10191,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham
sms10192,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
sms10193,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham
sms10194,Hi :)finally i completed the course:),ham
sms10195,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham
sms10196,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham
sms10197,Gud mrng dear hav a nice day,ham
sms10198,Did u got that persons story,ham
sms10199,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,ham
sms10200,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham
sms10201,"Found it, ENC  &lt;#&gt; , where you at?",ham
sms10202,I sent you  &lt;#&gt;  bucks,ham
sms10203,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,ham
sms10204,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham
sms10205,Goodmorning sleeping ga.,ham
sms10206,U call me alter at 11 ok.,ham
sms10207,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham
sms10208,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
sms10209,"Aight yo, dats straight dogg",ham
sms10210,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham
sms10211,Both :) i shoot big loads so get ready!,ham
sms10212,"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham
sms10213,Home so we can always chat,ham
sms10214,K:)k:)good:)study well.,ham
sms10215,Yup... How ü noe leh...,ham
sms10216,Sounds great! Are you home now?,ham
sms10217,Finally the match heading towards draw as your prediction.,ham
sms10218,Tired. I haven't slept well the past few nights.,ham
sms10219,Easy ah?sen got selected means its good..,ham
sms10220,I have to take exam with march 3,ham
sms10221,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham
sms10222,Ok no prob. Take ur time.,ham
sms10223,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham
sms10224,"Sorry, I'll call later",ham
sms10225,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham
sms10226,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam
sms10227,Would really appreciate if you call me. Just need someone to talk to.,ham
sms10228,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
sms10229,Hey company elama po mudyadhu.,ham
sms10230,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham
sms10231,Dear good morning now only i am up,ham
sms10232,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham
sms10233,Dear we are going to our rubber place,ham
sms10234,"Sorry battery died, yeah I'm here",ham
sms10235,Yes:)here tv is always available in work place..,ham
sms10236,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam
sms10237,I have printed it oh. So  &lt;#&gt;  come upstairs,ham
sms10238,Or ill be a little closer like at the bus stop on the same street,ham
sms10239,Where are you?when wil you reach here?,ham
sms10240,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
sms10241,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam
sms10242,Tomarrow final hearing on my laptop case so i cant.,ham
sms10243,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham
sms10244,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham
sms10245,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",ham
sms10246,U don't remember that old commercial?,ham
sms10247,Too late. I said i have the website. I didn't i have or dont have the slippers,ham
sms10248,I asked you to call him now ok,ham
sms10249,Kallis wont bat in 2nd innings.,ham
sms10250,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham
sms10251,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
sms10252,Ranjith cal drpd Deeraj and deepak 5min hold,ham
sms10253,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
sms10254,What you doing?how are you?,ham
sms10255,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",ham
sms10256,"I'm back, lemme know when you're ready",ham
sms10257,Don't necessarily expect it to be done before you get back though because I'm just now headin out,ham
sms10258,Mmm so yummy babe ... Nice jolt to the suzy,ham
sms10259,Where are you lover ? I need you ...,ham
sms10260,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam
sms10261,I‘m parked next to a MINI!!!! When are you coming in today do you think?,ham
sms10262,Yup,ham
sms10263,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ham
sms10264,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,ham
sms10265,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam
sms10266,Why you Dint come with us.,ham
sms10267,Same. Wana plan a trip sometme then,ham
sms10268,"Not sure yet, still trying to get a hold of him",ham
sms10269,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam
sms10270,The evo. I just had to download flash. Jealous?,ham
sms10271,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam
sms10272,"Come to mu, we're sorting out our narcotics situation",ham
sms10273,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",ham
sms10274,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
sms10275,"Usf I guess, might as well take 1 car",ham
sms10276,No objection. My bf not coming.,ham
sms10277,Thanx...,ham
sms10278,Tell rob to mack his gf in the theater,ham
sms10279,"Awesome, I'll see you in a bit",ham
sms10280,Just sent it. So what type of food do you like?,ham
sms10281,All done? All handed in? Celebrations in full swing yet?,ham
sms10282,You got called a tool?,ham
sms10283,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",ham
sms10284,Ok. I asked for money how far,ham
sms10285,Okie...,ham
sms10286,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",ham
sms10287,"K, I might come by tonight then if my class lets out early",ham
sms10288,Ok..,ham
sms10289,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham
sms10290,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham
sms10291,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ham
sms10292,Hey you told your name to gautham ah?,ham
sms10293,Haf u found him? I feel so stupid da v cam was working.,ham
sms10294,Oops. 4 got that bit.,ham
sms10295,Are you this much buzy,ham
sms10296,I accidentally deleted the message. Resend please.,ham
sms10297,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam
sms10298,Unless it's a situation where YOU GO GURL would be more appropriate,ham
sms10299,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham
sms10300,I cant pick the phone right now. Pls send a message,ham
sms10301,Need a coffee run tomo?Can't believe it's that time of week already,ham
sms10302,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",ham
sms10303,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",ham
sms10304,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,ham
sms10305,He is a womdarfull actor,ham
sms10306,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam
sms10307,Yup... From what i remb... I think should be can book... ,ham
sms10308,Jos ask if u wana meet up?,ham
sms10309,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham
sms10310,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam
sms10311,Where are the garage keys? They aren't on the bookshelf,ham
sms10312,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
sms10313,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",spam
sms10314,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,ham
sms10315,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",ham
sms10316,You made my day. Do have a great day too.,ham
sms10317,K.k:)advance happy pongal.,ham
sms10318,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",ham
sms10319,"Not really dude, have no friends i'm afraid :(",ham
sms10320,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam
sms10321,"Coffee cake, i guess...",ham
sms10322,"Merry Christmas to you too babe, i love ya *kisses*",ham
sms10323,Hey... Why dont we just go watch x men and have lunch... Haha ,ham
sms10324,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham
sms10325,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham
sms10326,No problem. How are you doing?,ham
sms10327,No calls..messages..missed calls,ham
sms10328,Hi da:)how is the todays class?,ham
sms10329,"I'd say that's a good sign but, well, you know my track record at reading women",ham
sms10330,"Cool, text me when you're parked",ham
sms10331,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,ham
sms10332,K.k:)apo k.good movie.,ham
